SKU,my_price,competitor,competitor_price,comparison
dawn paratha plain paratha 5 pcs,320,Cartpk,300.00,high
Dawn Whole wheat paratha 5 pcs,270,Cartpk,310.00,low
Knorr Noodles,280,Cartpk,250.00,high
Tapal Danedar 900gm,1750,Cartpk,1930.00,low
Sugar 1kg,190,Cartpk,190.00,
dawn paratha plain paratha 5 pcs,320,Diamond,None,
Dawn Whole wheat paratha 5 pcs,270,Diamond,289.00,low
Knorr Noodles,280,Diamond,195.00,high
Tapal Danedar 900gm,1750,Diamond,1680.00,high
Sugar 1kg,190,Diamond,180.00,high
dawn paratha plain paratha 5 pcs,320,Naheed,260.00,high
Dawn Whole wheat paratha 5 pcs,270,Naheed,265.00,high
Knorr Noodles,280,Naheed,199.00,high
Tapal Danedar 900gm,1750,Naheed,1800.00,low
Sugar 1kg,190,Naheed,200.00,low
dawn paratha plain paratha 5 pcs,320,Metro,245.00,high
Dawn Whole wheat paratha 5 pcs,270,Metro,None,
Knorr Noodles,280,Metro,189.00,high
Tapal Danedar 900gm,1750,Metro,1699.00,high
Sugar 1kg,190,Metro,205.00,low
